,x
Albania,2
Algeria,11
Andorra,1
Argentina,1
Armenia,3
Australia,5
Austria,4
Azerbaijan,6
Bahrain,11
Bangladesh,8
Belarus,7
Belgium,9
Bosnia,7
Brazil,1
Bulgaria,7
Burkina Faso,10
Canada,5
Chile,1
China,12
Colombia,1
Croatia,7
Cyprus (G),13
Cyprus (T),6
Czech Rep.,7
Denmark,14
Dominican Rep.,1
Ecuador,1
Egypt,11
El Salvador,1
Estonia,15
Ethiopia,11
Finland,15
France,1
Georgia,16
Germany,9
Ghana,10
Great Britain,5
Greece,13
Guatemala,1
Hong Kong,12
Hungary,15
Iceland,14
India,8
Indonesia,17
Iran,8
Iraq,11
Ireland,5
Israel,11
Italy,1
Japan,18
Jordan,11
Kazakhstan,6
Kosovo,2
Kuwait,11
Kyrgyzstan,6
Latvia,7
Lebanon,11
Libya,11
Lithuania,7
Luxembourg,9
Macedonia,7
Malaysia,17
Mali,21
Malta,11
Mexico,1
Moldova,20
Morocco,11
Netherlands,9
New Zealand,5
Nigeria,10
North Ireland,5
Norway,14
Pakistan,8
Palestine,11
Peru,1
Philippines,17
Poland,7
Portugal,1
Puerto Rico,1
Qatar,11
Romania,20
Russia,7
Rwanda,10
Saudi Arabia,11
Serbia and Montenegro,7
Singapore,12
Slovakia,7
Slovenia,7
South Africa,10
South Korea,19
Spain,1
Sweden,14
Switzerland,4
Taiwan,12
Tanzania,10
Thailand,22
Trinidad and Tobago,5
Tunisia,11
Turkey,6
Uganda,10
Ukraine,7
United States,5
Uruguay,1
Uzbekistan,6
Venezuela,1
Viet Nam,23
Yemen,11
Zambia,10
Zimbabwe,10
