0,1
Albania,Albania
Algeria,Semitic
Andorra,Italic
Argentina,Italic
Armenia,Greek-Armenian
Australia,Germanic
Austria,Germanic
Azerbaijan,Turkic
Bahrain,Semitic
Bangladesh,Indo-Aryan
Belarus,Balto-Slavic
Belgium,Germanic
Bosnia,Balto-Slavic
Brazil,Italic
Bulgaria,Balto-Slavic
Burkina Faso,Italic
Canada,Germanic
Chile,Italic
China,Sino-Tibetan
Colombia,Italic
Croatia,Balto-Slavic
Cyprus (G),Greek-Armenian
Cyprus (T),Turkic
Czech Rep.,Balto-Slavic
Denmark,Germanic
Dominican Rep.,Italic
Ecuador,Italic
Egypt,Semitic
El Salvador,Italic
Estonia,Uralic
Ethiopia,Semitic
Finland,Uralic
France,Italic
Georgia,Kartvelian
Germany,Germanic
Ghana,Germanic
Great Britain,Germanic
Greece,Greek-Armenian
Guatemala,Italic
Hong Kong,Sino-Tibetan
Hungary,Uralic
Iceland,Germanic
India,Indo-Aryan
Indonesia,Austronesian
Iran,Indo-Aryan
Iraq,Semitic
Ireland,Germanic
Israel,Semitic
Italy,Italic
Japan,Japan
Jordan,Semitic
Kazakhstan,Turkic
Kosovo,Albania
Kuwait,Semitic
Kyrgyzstan,Turkic
Latvia,Balto-Slavic
Lebanon,Semitic
Libya,Semitic
Lithuania,Balto-Slavic
Luxembourg,Italic
Macedonia,Balto-Slavic
Malaysia,Austronesian
Mali,Italic
Malta,Semitic
Mexico,Italic
Moldova,Italic
Morocco,Semitic
Netherlands,Germanic
New Zealand,Germanic
Nigeria,Niger_Congo
North Ireland,Germanic
Norway,Germanic
Pakistan,Indo-Aryan
Palestine,Semitic
Peru,Italic
Philippines,Austronesian
Poland,Balto-Slavic
Portugal,Italic
Puerto Rico,Italic
Qatar,Semitic
Romania,Italic
Russia,Balto-Slavic
Rwanda,Niger_Congo
Saudi Arabia,Semitic
Serbia and Montenegro,Balto-Slavic
Singapore,Germanic
Slovakia,Balto-Slavic
Slovenia,Balto-Slavic
South Africa,Germanic
South Korea,Korea
Spain,Italic
Sweden,Germanic
Switzerland,Germanic
Taiwan,Sino-Tibetan
Tanzania,Niger_Congo
Thailand,Tai
Trinidad and Tobago,Germanic
Tunisia,Semitic
Turkey,Turkic
Uganda,Niger_Congo
Ukraine,Balto-Slavic
United States,Germanic
Uruguay,Italic
Uzbekistan,Turkic
Venezuela,Italic
Viet Nam,Austroasiatic
Yemen,Semitic
Zambia,Niger_Congo
Zimbabwe,Niger_Congo
